Query	RS ID	Position	R2	D'	Gene Symbol	Gencode ID	Tissue	Non-effect Allele Freq	Effect Allele Freq	Effect Size	P-value
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Pancreas	T=0.749	G=0.251	-0.272109	6.1503e-06
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Lung	T=0.749	G=0.251	-0.215011	1.94912e-10
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Lung	T=0.749	G=0.251	-0.23732	1.22691e-13
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Thyroid	T=0.749	G=0.251	-0.246809	3.03e-08
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Thyroid	T=0.749	G=0.251	-0.260676	2.26725e-07
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Esophagus - Mucosa	T=0.749	G=0.251	-0.165178	2.53114e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Breast - Mammary Tissue	T=0.749	G=0.251	-0.262774	9.59839e-08
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Adrenal Gland	T=0.749	G=0.251	-0.396318	3.36478e-06
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN1	ENSG00000112299.7	Whole Blood	T=0.749	G=0.251	0.203081	1.29102e-11
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Whole Blood	T=0.749	G=0.251	-0.322735	1.09982e-33
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	RP1-55C23.7	ENSG00000234484.1	Whole Blood	T=0.749	G=0.251	0.292956	1.0004e-23
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Whole Blood	T=0.749	G=0.251	-0.219765	2.17841e-26
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Artery - Coronary	T=0.749	G=0.251	-0.335777	1.16019e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Artery - Coronary	T=0.749	G=0.251	-0.354247	2.34603e-07
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Spleen	T=0.749	G=0.251	-0.313632	8.45691e-12
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Spleen	T=0.749	G=0.251	-0.292274	1.64858e-08
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Heart - Left Ventricle	T=0.749	G=0.251	-0.266631	3.23331e-06
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Esophagus - Gastroesophageal Junction	T=0.749	G=0.251	-0.273888	6.13901e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Adipose - Visceral (Omentum)	T=0.749	G=0.251	-0.15889	8.31141e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Adipose - Visceral (Omentum)	T=0.749	G=0.251	-0.186331	9.7212e-11
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Colon - Transverse	T=0.749	G=0.251	-0.263244	3.16112e-07
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Esophagus - Muscularis	T=0.749	G=0.251	-0.296766	3.2551e-07
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Artery - Aorta	T=0.749	G=0.251	-0.27617	1.03796e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Artery - Aorta	T=0.749	G=0.251	-0.33811	8.48301e-10
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Adipose - Subcutaneous	T=0.749	G=0.251	-0.2474	3.04644e-07
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Adipose - Subcutaneous	T=0.749	G=0.251	-0.336643	6.9247e-15
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Prostate	T=0.749	G=0.251	-0.310959	1.14171e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Prostate	T=0.749	G=0.251	-0.316375	2.48557e-06
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Nerve - Tibial	T=0.749	G=0.251	-0.337351	3.20992e-11
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Nerve - Tibial	T=0.749	G=0.251	-0.33302	3.72797e-09
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Artery - Tibial	T=0.749	G=0.251	-0.308915	9.95339e-11
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN1	ENSG00000112299.7	Liver	T=0.749	G=0.251	0.234278	1.21174e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN3	ENSG00000093134.14	Heart - Atrial Appendage	T=0.749	G=0.251	-0.224291	3.4166e-05
rs6925157	rs12205095	chr6:133037306	0.1867766765275507	0.5649090785765818	VNN2	ENSG00000112303.13	Stomach	T=0.749	G=0.251	-0.343909	6.61201e-10
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Lung	A=0.578	T=0.422	-0.185204	2.6468e-09
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Lung	A=0.578	T=0.422	-0.179058	1.66795e-09
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Thyroid	A=0.578	T=0.422	-0.234471	3.17732e-07
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Thyroid	A=0.578	T=0.422	-0.206989	3.5504e-07
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Breast - Mammary Tissue	A=0.578	T=0.422	-0.203929	6.70776e-06
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Adrenal Gland	A=0.578	T=0.422	-0.430779	1.59368e-08
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Whole Blood	A=0.578	T=0.422	-0.268303	2.00584e-26
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	RP1-55C23.7	ENSG00000234484.1	Whole Blood	A=0.578	T=0.422	0.189744	9.19386e-12
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Whole Blood	A=0.578	T=0.422	-0.183519	4.43919e-21
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN1	ENSG00000112299.7	Whole Blood	A=0.578	T=0.422	0.189051	1.43152e-11
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Artery - Coronary	A=0.578	T=0.422	-0.297074	1.32374e-06
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Spleen	A=0.578	T=0.422	-0.221753	8.05238e-08
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Heart - Left Ventricle	A=0.578	T=0.422	-0.262872	3.3087e-07
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Adipose - Visceral (Omentum)	A=0.578	T=0.422	-0.157068	1.37322e-08
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Colon - Transverse	A=0.578	T=0.422	-0.257348	2.50211e-05
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Colon - Transverse	A=0.578	T=0.422	-0.216166	6.80653e-06
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Esophagus - Muscularis	A=0.578	T=0.422	-0.306138	5.10055e-09
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Artery - Aorta	A=0.578	T=0.422	-0.274361	1.6923e-07
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Artery - Aorta	A=0.578	T=0.422	-0.232529	8.90384e-05
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Adipose - Subcutaneous	A=0.578	T=0.422	-0.2704	1.88274e-09
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Adipose - Subcutaneous	A=0.578	T=0.422	-0.335673	8.17894e-17
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Nerve - Tibial	A=0.578	T=0.422	-0.290399	1.16606e-08
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Nerve - Tibial	A=0.578	T=0.422	-0.294547	1.29522e-10
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Artery - Tibial	A=0.578	T=0.422	-0.296611	7.16929e-12
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN2	ENSG00000112303.13	Skin - Sun Exposed (Lower leg)	A=0.578	T=0.422	-0.169002	9.30379e-05
rs6925157	rs12211414	chr6:133037375	0.3236642410198388	0.6419534401129178	VNN3	ENSG00000093134.14	Heart - Atrial Appendage	A=0.578	T=0.422	-0.218307	8.95249e-06
